Track Name,Artist Name(s),Album Name,Album Release Date,Track Duration (ms),Explicit,Popularity,Artist Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Label,song_clean,artist_clean
ONE MORE TIME,blink-182,ONE MORE TIME...,2023-10-20,208114,False,67,Pop Punk,0.628,0.497,2.0,-5.794,1.0,0.0271,0.114,0.0,0.112,0.157,114.704,5.0,Columbia,one more time,blink182
UN PREVIEW,Bad Bunny,UN PREVIEW,2023-09-25,165582,False,71,Reggaeton,0.786,0.814,1.0,-3.318,1.0,0.0873,0.0383,3.67e-05,0.22,0.365,95.084,4.0,Rimas Entertainment LLC,un preview,bad bunny
"Pain, Sweet, Pain",Zach Bryan,Boys Of Faith,2023-09-22,195739,False,57,Country,0.382,0.791,9.0,-5.416,0.0,0.0878,0.108,0.0,0.244,0.315,135.9,4.0,Warner Records,pain sweet pain,zach bryan
My Love Mine All Mine,Mitski,The Land Is Inhospitable and So Are We,2023-09-15,137773,False,89,,0.504,0.308,9.0,-14.958,1.0,0.0321,0.868,0.135,0.158,0.121,113.95,4.0,Dead Oceans,my love mine all mine,mitski
Según Quién,"Maluma, Carín León",Don Juan,2023-08-25,142334,True,81,Reggaeton,0.909,0.762,9.0,-3.974,1.0,0.0643,0.434,0.0,0.0856,0.843,101.987,3.0,Sony Music Latin,segun quien,maluma  carin leon
HVN ON EARTH (with Kodak Black),"Lil Tecca, Kodak Black",TEC,2023-09-22,188870,True,73,Melodic Rap,0.727,0.637,8.0,-5.185,1.0,0.0779,0.0684,0.000294,0.131,0.215,131.997,3.0,Galactic Records/Lil Tecca,hvn on earth,lil tecca  kodak black
Can't Have Mine (Find You A Girl),Dylan Scott,Livin' My Best Life,2022-08-05,183087,False,67,Country,0.663,0.502,5.0,-7.07,1.0,0.0285,0.791,0.0,0.105,0.371,143.969,4.0,Curb Records,cant have mine,dylan scott
3D (feat. Jack Harlow),"Jung Kook, Jack Harlow",3D : The Remixes,2023-10-02,201812,True,79,K-Pop,0.853,0.824,1.0,-3.287,1.0,0.103,0.0322,0.0,0.0859,0.888,108.044,4.0,BIGHIT MUSIC,3d,jung kook  jack harlow
Better Place (From TROLLS Band Together),"*NSYNC, Justin Timberlake",Better Place (From TROLLS Band Together),2023-09-29,216666,False,67,,0.579,0.556,4.0,-6.277,0.0,0.0511,0.0214,0.0,0.0904,0.558,116.943,4.0,RCA Records Label,better place,nsync
Water,Tyla,Water,2023-07-28,200255,False,87,Afrobeats,0.673,0.722,3.0,-3.495,0.0,0.0755,0.0856,0.0,0.137,0.519,117.187,4.0,FAX Records/Epic,water,tyla
Stick Season,Noah Kahan,Stick Season,2022-10-14,182346,False,88,,0.664,0.5,9.0,-6.935,1.0,0.0651,0.799,0.0,0.0966,0.801,117.896,4.0,Mercury Records/Republic Records,stick season,noah kahan
SHAQ & KOBE,"Rick Ross, Meek Mill",Too Good To Be True,2023-11-10,219617,True,51,Southern Hip Hop,0.493,0.737,10.0,-4.757,0.0,0.496,0.194,0.0,0.254,0.482,173.579,4.0,Maybach Music Group under exclusive license to gamma.,shaq  kobe,rick ross  meek mill
Stars Like Confetti,Dustin Lynch,Blue In The Sky,2022-02-11,194266,False,66,Country,0.623,0.874,10.0,-3.058,1.0,0.0329,0.00714,0.0,0.143,0.961,109.97,4.0,Broken Bow Records,stars like confetti,dustin lynch
God Gave Me A Girl,Russell Dickerson,Russell Dickerson,2022-11-04,187226,False,64,Country,0.518,0.845,7.0,-5.051,1.0,0.0647,0.249,0.0,0.0764,0.37,142.133,4.0,Triple Tigers,god gave me a girl,russell dickerson
The Secret Recipe,"Lil Yachty, J. Cole",The Secret Recipe,2023-09-29,248661,True,55,Rap,0.569,0.811,5.0,-4.562,1.0,0.336,0.696,0.0,0.156,0.69,144.642,4.0,Quality Control Music/Motown Records,the secret recipe,lil yachty  j cole
Virginia Beach,Drake,For All The Dogs,2023-10-06,251094,True,74,Rap,0.402,0.514,1.0,-7.322,0.0,0.0471,0.106,0.0,0.181,0.2,120.009,4.0,OVO/Republic,virginia beach,drake
Daylight,Drake,For All The Dogs,2023-10-06,164142,True,63,Rap,0.566,0.564,10.0,-7.88,0.0,0.277,0.0149,0.0,0.104,0.0667,139.92,4.0,OVO/Republic,daylight,drake
Fear Of Heights,Drake,For All The Dogs,2023-10-06,155154,True,62,Rap,0.697,0.32,7.0,-9.347,0.0,0.214,0.0127,0.0,0.18,0.0658,136.976,4.0,OVO/Republic,fear of heights,drake
7969 Santa,Drake,For All The Dogs,2023-10-06,259846,True,62,Rap,0.487,0.49,10.0,-9.373,0.0,0.0649,0.554,0.0,0.126,0.325,141.389,4.0,OVO/Republic,7969 santa,drake
